"ID","PROMOTOR-GESTOR","ACCES","TIPUS VELOCITAT","TIPUS CONNEXIÓ","LATITUD","LONGITUD","DESIGNACIÓ-DESCRIPTIVA","POTENCIA","TIPUS DE CORRENT","ADREÇA","PROVINCIA","CODIPROV","MUNICIPI","CODIMUN","NPLACES ESTACIÓ","TIPUS VEHICLE","Georeferència"
"46617650","Institut Català d'Energia - Ajuntament de Tàrrega","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,651863","1,14741","20XM32T8KK4AR00105","50","AC/DC","Avinguda de Barcelona, 18, 25300 Tàrrega,","Lleida","25","Tàrrega","252173","","","POINT (1.14741 41.651863)"
"46414957","Institut Català d'Energia - Ajuntament de Mataró","targeta","semiRAPID","MENNEKES.M","41,53725","2,44433","1224303950030","7","AC","SABA - Camí Ral de la Mercè, 382, 08301","Barcelona","8","Mataró","81213","","","POINT (2.44433 41.53725)"
"46408110","Institut Català d'Energia - Ajuntament de Vallromanes","targeta","semiRAPID","MENNEKES.M","41,531044","2,285371","21XP22T3KK4AM00266","22","AC","GOLF VALLROMANES - Carrer de la Torre","Barcelona","8","Vallromanes","82969","","","POINT (2.285371 41.531045)"
"46430611","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,395515","2,163515","1583001318","22","AC","SABA - Carrer de Pau Claris, 174, 08037","Barcelona","8","Barcelona","80193","","","POINT (2.163515 41.395515)"
"46617697","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,39789","2,161263","61939036180021","6","AC","JOSEL CORSEGA - C. de Còrsega, 344, 08037","Barcelona","8","Barcelona","80193","","","POINT (2.161263 41.397887)"
"44185887","Institut Català d'Energia - Ajuntament de el Pont de Suert","tarjeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","42,4084","0,742","EdRR Pont de Suert (DC50-AC13kW)","50","AC/DC","PONT DE SUERT - Av. Victoriano Muñoz cruce","Lleida","25","el Pont de Suert","251734","","","POINT (0.742 42.4084)"
"46431575","Institut Català d'Energia - Ajuntament de l'Hospitalet de Llobregat","targeta","semiRAPID","MENNEKES.M","41,35659","2,129309","19XP22T3KK4AZ00981","22","AC","FIRA PABELLON 4- Av. Joan Carles I, 64,","Barcelona","8","l'Hospitalet de Llobregat","81017","","","POINT (2.129309 41.35659)"
"46447132","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,41565","2,180729","61951054330016","6","AC","PARKING PARKIA - Passeig de Maragall, 52","Barcelona","8","Barcelona","80193","","","POINT (2.180729 41.41565)"
"46109834","Institut Català d'Energia - Ajuntament de Lloret de Mar","targeta","semiRAPID","MENNEKES.M","41,69879","2,848269","Lloret de Mar - CIRCUTOR EdRSR 3","12","AC","Plaça de la Vila, 1","Girona","17","Lloret de Mar","170950","","","POINT (2.848269 41.698792)"
"46109636","Institut Català d'Energia - Ajuntament de Sabadell","targeta","semiRAPID","MENNEKES.M","41,544773","2,116831","Sabadell - INGETEAM EdRSR 1","12","AC","C. de Alguersuari I Pascual, 149","Barcelona","8","Sabadell","81878","","","POINT (2.116831 41.544773)"
"46129422","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,405937","2,127265","Parking TEKNON - SELBA EdRSR 3","7","AC","Carrer de Vilana, 12","Barcelona","8","Barcelona","80193","","","POINT (2.127265 41.405936)"
"46436875","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,386147","2,126348","1583001118","22","AC","SABA - Gran Via de Carles III, 85, 08028","Barcelona","8","Barcelona","80193","","","POINT (2.126348 41.386146)"
"46280791","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,406944","2,128439","Parking TEKNON - SELBA EdRSR 11","7","AC","Carrer de Vilana, 12","Barcelona","8","Barcelona","80193","","","POINT (2.128439 41.406946)"
"44186069","Institut Català d'Energia - Ajuntament de Barcelona","tarjeta","semiRAPID","MENNEKES.M","41,38813","2,167363","EdR BAMSA RCatalunya1","22","AC","BAMSA - Rambla de Catalunya, 08007","Barcelona","8","Barcelona","80193","","","POINT (2.167363 41.38813)"
"47144981","Institut Català d'Energia - Ajuntament de Alp","targeta","semiRAPID","MENNEKES.M","42,336884","1,9365222","ACCIONA - (A) La Molina Avd. Supermolina","10","AC","Avinguda Supermolina, 1","Girona","17","Alp","170062","","","POINT (1.9365223 42.3368839)"
"46436874","Institut Català d'Energia - Ajuntament de Santa Susanna","targeta","semiRAPID","MENNEKES.M","41,633045","2,721349","62020013930001","22","AC","Avinguda del Mar, 14, 08398 Santa Susanna,","Barcelona","8","Santa Susanna","82613","","","POINT (2.721349 41.633044)"
"46195509","Institut Català d'Energia - Ajuntament de Deltebre","targeta","semiRAPID","MENNEKES.M","40,72374","0,838128","Ajuntament de Deltebre - INGETEAM EdRSR 1","12","AC","Carrer del Coll Verd, 54","Tarragona","43","Deltebre","439018","","","POINT (0.838128 40.723739)"
"46111356","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,385715","2,127817","Pàrking - SELBA EdRSR 1","7","AC","C/ de Juan Miguel Gervilla Valladolid, 11","Barcelona","8","Barcelona","80193","","","POINT (2.127817 41.385717)"
"46617629","Institut Català d'Energia - Ajuntament de Sant Feliu de Guíxols","targeta","RAPID i semiRAPID","CCS Combo2","41,79102","3,047094","C6E06BCC22HGPQYZGD","60","DC","Plaza Pablo Ruiz Picasso, 1, 17004 Girona,","Girona","17","Sant Feliu de Guíxols","171609","","","POINT (3.047094 41.79102)"
"44185940","Institut Català d'Energia - Ajuntament de Terrassa","tarjeta","semiRAPID","MENNEKES.M","41,56349","2,017574","EdR SABA Terrassa (AC13kW)","22","AC","SABA - Pl. Dr. Robert","Barcelona","8","Terrassa","82798","","","POINT (2.017574 41.563493)"
"47144916","Institut Català d'Energia - Ajuntament de Olèrdola","targeta","superRAPID i semiRAPID","CCS Combo2","41,353","1,7296124","ACCIONA - Grupo Engind","276","DC","Carrer Sant Miquel d'Olèrdola, 3","Barcelona","8","Olèrdola","81458","","","POINT (1.7296124 41.3530005)"
"46138978","Institut Català d'Energia - Ajuntament de Bellvís","targeta","semiRAPID","MENNEKES.M","41,6722","0,817381","Ajuntament de Bellvís -  SELBA EdRSR","12","AC","Carrer Domènec Cardenal, 48","Lleida","25","Bellvís","250523","","","POINT (0.817381 41.6722)"
"46112074","Institut Català d'Energia - Ajuntament de Castellbisbal","targeta","semiRAPID","MENNEKES.M","41,478683","1,977648","AMB FL013 - CIRCUTOR EdRSR 3","7","AC","Carrer Agricultura, 1","Barcelona","8","Castellbisbal","80543","","","POINT (1.977648 41.478683)"
"46146203","Institut Català d'Energia - Ajuntament de Lliçà d'Amunt","targeta","semiRAPID","MENNEKES.M","41,619534","2,214426","Ajuntament de Lliçà d'Amunt - CIRCUTOR EdRSR 5","12","AC","Carrer de la Matarranya, 18","Barcelona","8","Lliçà d'Amunt","81075","","","POINT (2.214426 41.619532)"
"46111569","Institut Català d'Energia - Ajuntament de Cornellà de Llobregat","targeta","semiRAPID","MENNEKES.M","41,358097","2,07211","AMB FL004 - CIRCUTOR EdRSR 4","7","AC","Carretera dEsplugues, 69","Barcelona","8","Cornellà de Llobregat","80734","","","POINT (2.07211 41.358097)"
"44185895","Institut Català d'Energia - Ajuntament de Tàrrega","tarjeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,662636","1,133333","EdRR PETROMIRALLES Tàrrega (DC50-AC13kW)","50","AC/DC","E.S. PETROMIRALLES  -  Autovía A2, 0. Km 507","Lleida","25","Tàrrega","252173","","","POINT (1.133333 41.662636)"
"47489853","Institut Català d'Energia - Ajuntament de Montesquiu","targeta","semiRAPID","MENNEKES.M","42,110497","2,209592","Ajuntament de Montesquiu - SELBA EdRSR","12","AC","Carrer de la Plaçola","Barcelona","8","Montesquiu","81311","","","POINT (2.209592 42.110498)"
"46617706","Institut Català d'Energia - Ajuntament de Corbera d'Ebre","targeta","semiRAPID","MENNEKES.M","41,077896","0,47838","61947051020026","22","AC","s/n, Carrer Doctor Ferran, 43784 Corbera","Tarragona","43","Corbera d'Ebre","430483","","","POINT (0.47838 41.077897)"
"46617600","Institut Català d'Energia - Ajuntament de Salou","targeta","semiRAPID","MENNEKES.M","41,07883","1,132388","62218017460006","22","AC","Via Roma, 10, 43840 Salou, Tarragona, Spain","Tarragona","43","Salou","439057","","","POINT (1.132388 41.07883)"
"11423952","Institut Català d'Energia - Ajuntament de Barcelona","VIA PUBLICA ","semiRAPID i NORMAL","MENNEKES.F+Schuko","41,433956","2,192101","(eDUM) Sant Adrià - Pl. Can Fabra (7.4kW)","0","AC/DC","Carrer de Sant Adrià, 21","Barcelona","8","Barcelona","80193","2","mercaderies","POINT (2.192101 41.433956)"
"46450819","Institut Català d'Energia - Ajuntament de Sant Quirze del Vallès","targeta","semiRAPID","MENNEKES.M","41,537548","2,081356","Sant Quirze del Vallès - SELBA EdRSR 2","7","AC","Carrer del Priorat","Barcelona","8","Sant Quirze del Vallès","82384","","","POINT (2.081356 41.537548)"
"47144915","Institut Català d'Energia - Ajuntament de Òdena","targeta","superRAPID i semiRAPID","CCS Combo2","41,578785","1,6410168","ACCIONA - ANTIGA MASÍA","230","DC","Carrer de la Masia, 1","Barcelona","8","Òdena","81430","","","POINT (1.6410168 41.5787844)"
"46112347","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,385746","2,127802","Pàrking - SELBA EdRSR 3","7","AC","C/ de Juan Miguel Gervilla Valladolid, 11","Barcelona","8","Barcelona","80193","","","POINT (2.127802 41.385746)"
"46367426","Institut Català d'Energia - Ajuntament de Premià de Dalt","targeta","semiRAPID","MENNEKES.M","41,502483","2,361462","22XP22T3KKJAK00114","22","AC","Parc Aquatic - Illa Fantasia, Finca Mas","Barcelona","8","Premià de Dalt","82303","","","POINT (2.361462 41.502482)"
"47543340","Institut Català d'Energia - Ajuntament de Pineda de Mar","targeta","superRAPID i semiRAPID","CCS Combo2","41,624268","2,674593","Carrer Carles I - Pineda de Mar","100","DC","Carrer Carles I, 8","Barcelona","8","Pineda de Mar","81635","","","POINT (2.674593 41.624266)"
"46617779","Institut Català d'Energia - Ajuntament de Flix","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,228848","0,547975","62205058050003","50","AC/DC","Carrer Joan Maragall, 1, 43750 Flix,","Tarragona","43","Flix","430607","","","POINT (0.547975 41.228848)"
"46109512","Institut Català d'Energia - Ajuntament de Barcelona","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M+Schuko","41,43672","2,18281","Rosselló i Porcel, 9","50","AC/DC","Carrer Rosselló i Porcel, 9","Barcelona","8","Barcelona","80193","","","POINT (2.18281 41.43672)"
"46617593","Institut Català d'Energia - Ajuntament de Mollet del Vallès","targeta","semiRAPID","MENNEKES.M","41,54158","2,222799","22XP22T3KK4AK00044","22","AC","Av. dels Rabassaires, 46, 08100 Mollet del","Barcelona","8","Mollet del Vallès","81249","","","POINT (2.222799 41.541581)"
"46114646","Institut Català d'Energia - Ajuntament de Tarragona","targeta","semiRAPID","MENNEKES.M","41,118008","1,245008","Diputació Tarragona - SELBA EdRSR 1","12","AC","Carrer de Pere Martell 2","Tarragona","43","Tarragona","431482","","","POINT (1.245008 41.118008)"
"46146137","Institut Català d'Energia - Ajuntament de Berga","targeta","semiRAPID","MENNEKES.M","42,092537","1,825572","Cami de Can Ballús, polígon industrial la Valldan","12","AC","Cami de Can Ballús, polígon industrial la ...","Barcelona","8","Berga","80229","","","POINT (1.825572 42.092536)"
"46617787","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,401646","2,120766","61943044280003","6","AC","Via Augusta, 349, 08017 Barcelona, Spain","Barcelona","8","Barcelona","80193","","","POINT (2.120766 41.401645)"
"46617797","Institut Català d'Energia - Ajuntament de Sant Cugat del Vallès","targeta","semiRAPID","MENNEKES.M","41,472534","2,079477","23XC11M2J03DB00137","6","AC","Av. Lluís Companys i Jover, 31, 08172 Sant","Barcelona","8","Sant Cugat del Vallès","82055","","","POINT (2.079477 41.472536)"
"46519096","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,395435","2,148227","1583001018","22","AC","SABA - Travessera de Gràcia, 43, 08021","Barcelona","8","Barcelona","80193","","","POINT (2.148227 41.395437)"
"46617681","Institut Català d'Energia - Ajuntament de Tàrrega","targeta","semiRAPID","MENNEKES.M","41,648224","1,138438","22XP22T3KKJAK00265","22","AC","Av. de Catalunya, 36, 25300 Tàrrega, Lleida,","Lleida","25","Tàrrega","252173","","","POINT (1.138438 41.648222)"
"44186050","Institut Català d'Energia - Ajuntament de Barcelona","tarjeta","semiRAPID","MENNEKES.M","41,391056","2,147744","EdR BAMSA Londres2","22","AC","BAMSA - Carrer de Londres, 56, 08036","Barcelona","8","Barcelona","80193","","","POINT (2.147744 41.391057)"
"44186117","Institut Català d'Energia - Ajuntament de Granollers","tarjeta","semiRAPID","MENNEKES.M","41,600906","2,295992","EdR H Ciutat Granollers","22","AC","HOTEL CIUTAT DE GRANOLLERS - Carrer Turo","Barcelona","8","Granollers","80961","","","POINT (2.295992 41.600906)"
"46129104","Institut Català d'Energia - Ajuntament de Premià de Mar","targeta","semiRAPID","MENNEKES.M","41,491783","2,358136","Premià de Mar - SELBA EdRSR","12","AC","Carrer del Nord, 65","Barcelona","8","Premià de Mar","81727","","","POINT (2.358136 41.491784)"
"46115493","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M","41,385765","2,127786","Pàrking - SELBA EdRSR 4","7","AC","C/ de Juan Miguel Gervilla Valladolid, 11","Barcelona","8","Barcelona","80193","","","POINT (2.127786 41.385766)"
"11438478","Institut Català d'Energia - Ajuntament de Pallejà","ESTACIO DE SERVEI","superRAPID","CCS Combo2","41,42028","2,00201","IONITY Pallejà (350kW)","0","DC","Ronda de Santa Eulàlia, 31","Barcelona","8","Pallejà","81574","4","cotxe","POINT (2.00201 41.42028)"
"44185881","Institut Català d'Energia - Ajuntament de Barcelona","tarjeta","semiRAPID","MENNEKES.M","41,41568","2,180759","EdR PARKIA Maragall1 Barcelona","6","AC","PARKING PARKIA - Passeig de Maragall, 52","Barcelona","8","Barcelona","80193","","","POINT (2.180759 41.41568)"
"46367433","Institut Català d'Energia - Ajuntament de Sant Boi de Llobregat","targeta","semiRAPID","MENNEKES.M","41,32282","2,032045","22XP22T3QQ1AN00836","22","AC","Transgourmet GrosMercat Sant Boi - Carrer","Barcelona","8","Sant Boi de Llobregat","82009","","","POINT (2.032045 41.322817)"
"46206935","Institut Català d'Energia - Ajuntament de Castellvell del Camp","targeta","semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,180035","1,098655","Castellvell del Camp - INGETEAM - EDRR 1","6","AC/DC","Pompeu Fabra, 17","Tarragona","43","Castellvell del Camp","430424","","","POINT (1.098655 41.180035)"
"46109860","Institut Català d'Energia - Ajuntament de Reus","targeta","semiRAPID","MENNEKES.M","41,152866","1,109018","Aparcament Baluard","7","AC","Raval de Martí Folguera, 43","Tarragona","43","Reus","431233","","","POINT (1.109018 41.152868)"
"46109522","Institut Català d'Energia - Ajuntament de Barcelona","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,3539","2,142997","Cisell 8","50","AC/DC","c/ Cisell 8","Barcelona","8","Barcelona","80193","","","POINT (2.142997 41.353902)"
"46109458","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","Schuko","41,41357","2,143069","Av. Vallcarca, 154","0","AC","Av. Vallcarca, 154","Barcelona","8","Barcelona","80193","","","POINT (2.143069 41.413572)"
"46109437","Institut Català d'Energia - Ajuntament de Barcelona","targeta","semiRAPID","MENNEKES.M+Schuko","41,405136","2,177452","Ap. BSM - Mercat Sagr. Família","7","AC","C/ Mallorca, 425-433","Barcelona","8","Barcelona","80193","","","POINT (2.177452 41.405136)"
"46109959","Institut Català d'Energia - Ajuntament de Manresa","targeta","semiRAPID","MENNEKES.M","41,736816","1,828372","Manresa - INGETEAM EdRSR 1","12","AC","Carrer de Bertran de Castellbell, 81","Barcelona","8","Manresa","81136","","","POINT (1.828372 41.736817)"
"46110661","Institut Català d'Energia - Ajuntament de Salou","targeta","semiRAPID","MENNEKES.M","41,079086","1,132407","Via Roma, 10","12","AC","Via Roma, 11, 43840 Salou, Tarragona, Spain","Tarragona","43","Salou","439057","","","POINT (1.132407 41.079088)"
"48688807","Institut Català d'Energia - Ajuntament de Ullastret","targeta","semiRAPID","MENNEKES.M","42,002262","3,066907","Ajuntament d'Ullastret - SELBA EdRSR 1","12","AC","C. Josep Romaguera I Vila, 1","Girona","17","Ullastret","172057","","","POINT (3.066907 42.002264)"
"46617667","Institut Català d'Energia - Ajuntament de Sant Feliu de Guíxols","targeta","RAPID i semiRAPID","CCS Combo2","41,791065","3,047119","C6E06BCC22ASCPTELX","60","DC","Plaza Pablo Ruiz Picasso, 1, 17004 Girona,","Girona","17","Sant Feliu de Guíxols","171609","","","POINT (3.047119 41.791064)"
"46447264","Institut Català d'Energia - Ajuntament de Rupit i Pruit","targeta","semiRAPID","MENNEKES.M","42,026035","2,464842","Ajuntament de Rupit i Pruit - SELBA EdRSR 2","12","AC","Sant Joan de Fabregues, 1","Barcelona","8","Rupit i Pruit","89019","","","POINT (2.464842 42.026035)"
"46340895","Institut Català d'Energia - Ajuntament de Aldover","targeta","semiRAPID","MENNEKES.M","40,87979","0,498793","Ajuntament d'Aldover - SELBA EdRSR 1","12","AC","Vias Verdes del Baix Ebre","Tarragona","43","Aldover","430069","","","POINT (0.498793 40.879793)"
"46110025","Institut Català d'Energia - Ajuntament de l'Ametlla de Mar","targeta","semiRAPID","MENNEKES.M","40,88558","0,803871","C. Sant Joan, 57","12","AC","Carrer Sant Joan, 57, 43860 L'Ametlla de M...","Tarragona","43","l'Ametlla de Mar","430136","","","POINT (0.803871 40.88558)"
"46115582","Institut Català d'Energia - Ajuntament de Sant Carles de la Ràpita","targeta","semiRAPID","MENNEKES.M","40,62635","0,621681","Sant","12","AC","Sant","Tarragona","43","Sant Carles de la Ràpita","431362","","","POINT (0.621681 40.62635)"
"46447627","Institut Català d'Energia - Ajuntament de Esplugues de Llobregat","targeta","semiRAPID","MENNEKES.M","41,373516","2,100556","62005004480002","6","AC","PARKING PARKIA - Can Vidalet","Barcelona","8","Esplugues de Llobregat","80771","","","POINT (2.100556 41.373515)"
"44185916","Institut Català d'Energia - Ajuntament de Santa Maria de Miralles","tarjeta","semiRAPID","MENNEKES.M","41,49107","1,513471","EdR ES PETROMIRALLES Santa Maria de Miralles","10","AC","PETROMIRALLES SANTA MARIA DE MIRALLES - Ctra","Barcelona","8","Santa Maria de Miralles","82573","","","POINT (1.513471 41.491068)"
"47299736","Institut Català d'Energia - Ajuntament de Sant Esteve Sesrovires","targeta","superRAPID i semiRAPID","CCS Combo2","41,50124","1,88388","Atlante - Nieves Sant Esteve","150","DC","Calle de Isaac Peral","Barcelona","8","Sant Esteve Sesrovires","82080","","","POINT (1.88388 41.50124)"
"46525134","Institut Català d'Energia - Ajuntament de Terrassa","targeta","semiRAPID","MENNEKES.M","41,545807","2,025866","62228022090023","22","AC","PARC VALLÈS Av. del Tèxtil, s/n, 08223","Barcelona","8","Terrassa","82798","","","POINT (2.025866 41.545807)"
"46512176","Institut Català d'Energia - Ajuntament de Gimenells i el Pla de la Font","targeta","RAPID i semiRAPID","CCS Combo2+ChadeMO+MENNEKES.M","41,65307","0,388591","62048041880007","50","AC/DC","AJUNTAMENT DE GIMENELLS - Carrer Parc, 4,","Lleida","25","Gimenells i el Pla de la Font","259123","","","POINT (0.388591 41.653068)"
"46109405","Institut Català d'Energia - Ajuntament de Sitges","targeta","semiRAPID","MENNEKES.M","41,24151","1,804662","Sitges - SELBA EdRSR 5 Aparcament Víctor Balaguer","12","AC","Av. Camí dels Capellans, 65","Barcelona","8","Sitges","82704","","","POINT (1.804662 41.241507)"
"46110276","Institut Català d'Energia - Ajuntament de Avinyonet de Puigventós","targeta","semiRAPID i NORMAL","MENNEKES.M+Schuko","42,250843","2,910867","Carrer Simó Llauneta, 41","12","AC","Diseminado Mas Margall, 11, 17742 Avinyone...","Girona","17","Avinyonet de Puigventós","170123","","","POINT (2.910867 42.250842)"
